wavelength,u,g,r,i,z,Y
477,0.00007,0.30550,0.00013,0.00095,0.00029,0.00012
478,0.00006,0.30591,0.00013,0.00099,0.00026,0.00012
479,0.00005,0.30625,0.00013,0.00103,0.00023,0.00012
480,0.00004,0.30734,0.00013,0.00107,0.00021,0.00013
481,0.00003,0.31012,0.00013,0.00111,0.00020,0.00013
482,0.00003,0.31095,0.00013,0.00115,0.00019,0.00015
483,0.00003,0.31283,0.00013,0.00120,0.00018,0.00017
484,0.00002,0.31411,0.00013,0.00125,0.00017,0.00019
485,0.00002,0.31356,0.00013,0.00129,0.00016,0.00020
486,0.00002,0.31298,0.00013,0.00134,0.00015,0.00022
487,0.00002,0.31490,0.00012,0.00138,0.00014,0.00024
488,0.00001,0.31702,0.00012,0.00143,0.00013,0.00026
489,0.00001,0.31904,0.00012,0.00147,0.00012,0.00028
490,0.00001,0.31977,0.00012,0.00152,0.00011,0.00029
491,0.00001,0.32262,0.00012,0.00148,0.00014,0.00031
492,0.00001,0.32339,0.00012,0.00144,0.00017,0.00033
493,0.00001,0.32340,0.00012,0.00140,0.00020,0.00034
494,0.00001,0.32311,0.00012,0.00136,0.00023,0.00036
495,0.00001,0.32308,0.00012,0.00132,0.00026,0.00038
496,0.00001,0.32533,0.00012,0.00128,0.00029,0.00040
497,0.00001,0.32642,0.00012,0.00124,0.00032,0.00041
498,0.00001,0.32876,0.00012,0.00120,0.00035,0.00043
499,0.00001,0.33072,0.00012,0.00116,0.00038,0.00045
500,0.00001,0.33022,0.00012,0.00112,0.00041,0.00042
501,0.00001,0.33209,0.00012,0.00105,0.00044,0.00039
502,0.00001,0.33272,0.00012,0.00099,0.00047,0.00037
503,0.00001,0.33466,0.00013,0.00093,0.00050,0.00034
504,0.00001,0.33534,0.00014,0.00087,0.00053,0.00032
505,0.00001,0.33620,0.00014,0.00080,0.00056,0.00029
506,0.00001,0.33652,0.00015,0.00074,0.00059,0.00026
507,0.00002,0.33795,0.00015,0.00068,0.00062,0.00024
508,0.00002,0.33978,0.00015,0.00061,0.00065,0.00021
509,0.00002,0.34055,0.00016,0.00055,0.00068,0.00018
510,0.00002,0.34270,0.00017,0.00055,0.00071,0.00016
511,0.00002,0.34272,0.00017,0.00055,0.00069,0.00017
512,0.00002,0.34157,0.00018,0.00055,0.00068,0.00018
513,0.00002,0.34206,0.00019,0.00054,0.00066,0.00019
514,0.00002,0.34304,0.00020,0.00054,0.00064,0.00021
515,0.00003,0.34580,0.00019,0.00054,0.00062,0.00022
516,0.00003,0.34685,0.00018,0.00054,0.00060,0.00023
517,0.00003,0.34807,0.00019,0.00054,0.00058,0.00024
518,0.00003,0.34834,0.00021,0.00053,0.00056,0.00025
519,0.00003,0.34929,0.00022,0.00053,0.00054,0.00027
520,0.00003,0.35023,0.00023,0.00053,0.00052,0.00028
521,0.00003,0.35198,0.00028,0.00053,0.00052,0.00036
522,0.00003,0.35408,0.00027,0.00054,0.00052,0.00044
523,0.00003,0.35637,0.00028,0.00054,0.00051,0.00052
